"out1","V1_1","V2_1","V3_1"
1,-5.40609509258104,-3.44461741476414,-3.10781924703236
0,-8.494975910446,1.58785872727876,-0.317509610483476
0,-2.51506482554685,-3.30315724900049,4.51480669345436
1,-6.37037769727524,-3.45869081528365,4.33145662118176
0,3.10239341279668,-5.79752377462832,-3.58614345478393
0,6.17616795144772,0.30963317116459,-0.96944605917014
1,-7.24299262103088,6.1857097961232,-1.79122351393566
0,-2.53808078060271,3.57467686659322,-9.59250350333968
1,1.02731773193175,-1.56098116252404,0.489522776563968
1,4.05908942385452,3.12742950575225,-2.25607435144651
1,2.93407494063069,4.40618418790104,0.898600218674336
0,1.35259109435166,0.51725631525776,1.35220909513375
0,-2.71872290496504,5.75397952509528,0.443636709388912
1,-0.804891732348756,0.161842541280642,-10.5461773807608
0,3.90046379875712,0.881656618503008,0.278458373599774
1,2.59521002767209,-1.53627083987944,6.89353498919428
0,1.27774684133778,-2.19069852986731,-0.502397290696684
0,-3.08736218772395,-9.3780343142734,2.95054983052324
1,-1.24244123920502,-2.88842998763432,-0.515892319304632
0,-4.0013955009836,0.618266412196888,8.42597163769692
0,0.251608445043592,-6.60228336574428,4.79551743161904
1,0.876275115811016,0.691307104445316,-0.950484662481672
1,-0.736728780988364,0.158229516804226,0.0523072194767872
1,-2.52062540966521,1.16960799887603,-9.30273714512728
1,1.4870287028108,5.82454913568924,-3.54161215717998
1,4.04602379261036,5.61453314991044,1.72284211349707
1,-3.70205458179169,3.27074934071961,-3.8944421430824
0,4.86881554195232,-1.838884613425,5.20292783481264
1,3.28168467058807,1.37803846950088,1.73951141308039
0,-3.65335987024491,5.17841902316144,7.82696120186468
0,-1.24991461991424,3.64298560585382,-6.88147134045216
1,0.743551415776044,-5.40195351400452,-5.20224227506008
1,-1.71081147238352,3.78066581412153,-2.1277358591225
1,1.0333374353265,2.97263464817359,-4.74506687354528
1,0.902044134428152,2.12081875697156,-0.307055146916477
0,-4.85893130033028,2.12982180238092,2.65254284998236
0,5.17334272194284,-1.65101787133462,-5.72462272894604
0,-0.608447869120412,2.46278173015484,0.729086572180472
0,1.40813856661325,-6.45823964240692,-0.0781516651787824
0,-3.16129953552306,1.52094375264274,-3.58200527231497
0,2.52941328311741,-1.39636720468265,3.80653061203669
1,0.0424974941215036,0.796334270913592,7.3447963063944
0,-1.75390605710924,-1.23751784329125,2.66302710346964
1,-2.76053271952037,-5.81206288195324,-5.12600203216104
0,-7.73122363990368,6.36803781431352,4.08877520051304
0,0.223052301940226,-0.412679287537072,0.554937599403968
0,-4.18748078678004,-2.50700687483442,-4.305614710658
0,-1.85266049787953,-4.11978922964244,0.90792990346438
1,-8.3604821298994,4.80072261708036,-5.09396255555432
1,0.502765992201212,-1.28438982419502,-0.242121579640395
1,0.491403668542368,1.99949366472924,0.252239501917782
