"out1","pred1","pred2"
15,5.64816793878959,1.73911604566495
4,4.22983543916737,3.91786194705478
2,3.64615599938808,5.12215619701263
11,6.22335257768174,4.03246526055115
32,7.0619990449919,1.48063003404599
23,6.8625602382324,2.51576592713375
2,3.32156495355472,4.26691114918662
7,4.38157524829757,2.29233053438122
9,5.66252686280713,3.44381942814623
15,6.95109025424472,3.77463405342934
4,4.04165152430942,2.07306952842192
10,4.62868204667237,2.9404746439382
7,2.78733005198794,-0.241267340069073
0,2.60758675183866,1.97561235866571
14,6.6250516447884,2.74743184860684
31,7.71248005714165,1.75221681803515
5,4.85597975683933,4.63241130393163
24,7.00706579578405,1.56985862203937
7,5.72327205009527,2.55995551330302
5,3.70976049078975,3.13074057728609
5,5.72279121101683,4.44127328906612
43,8.07607313293194,1.56413784882056
4,4.9283479217801,4.16316375215496
33,8.12928731162801,3.01023306101959
1,-0.239490208179489,2.01849134895205
14,6.64380500875045,3.46210347426327
7,5.17409413647634,3.19905969557347
3,4.40198529906827,2.39978312284121
4,5.183521553071,3.06980208499002
1,1.02486217079821,2.61468640313824
4,4.56065622432498,3.11351734525125
8,5.71422514302349,3.66213067452105
28,7.95578808948303,4.58601681614535
2,3.96345956345271,1.76218450117315
1,3.38301279421362,5.13303337465627
7,3.99648591283093,1.0479122004775
19,6.83080423540415,2.84821490496442
11,5.65750221931937,3.58831720648458
3,3.94047959246592,3.28099186773503
9,6.02653486622671,2.37730048017941
4,5.19415509869608,2.79187774964272
20,6.93728998106578,2.50699906534117
2,3.5958938122453,2.41063524305579
6,4.34467570680446,3.84960209702102
4,4.21578369373568,3.35701548596505
0,2.07297010373576,2.30709040473935
6,5.59224055412915,3.89959987543325
8,5.52211054435978,3.30729952087661
4,5.01022691328492,3.81286211883896
3,4.53082573324971,3.62962884192361
3,2.16925851589917,2.17100498907793
6,4.15870935446928,2.43981895980303
2,4.31457096694646,3.74729360512326
3,3.39544546155676,3.61037026543347
11,4.67742857666798,2.97909840603585
14,5.80810171362908,3.11732738330878
41,8.77237180242106,4.27766489578842
7,5.34915562566368,2.40842861116417
8,5.51510078144553,3.54709738117004
9,4.85110816846767,2.79780734756611
1,1.16245756940192,2.78231879677278
7,4.94697224910157,4.09877685198719
4,5.12046041988205,3.82541634898803
65,9.92648422497057,3.81350963600064
4,4.61527807043776,4.30547880715433
13,5.60309468466722,3.02100384163276
4,4.93057646058951,3.68195297129496
5,2.66264392476094,2.68973324340654
23,7.28564562903004,3.32416635248844
10,6.50386606537355,2.86985694563232
11,6.58206389408609,3.09699596499272
3,3.18122509041052,3.59515702543691
40,7.8055886218722,2.18177931676653
0,2.19629787441544,5.09238727568546
16,6.17371418760054,1.9939826185003
62,9.38091125161996,1.78581138721227
1,3.01892734973862,4.15811087350007
2,3.86740454079446,3.79166269396294
6,5.19930273017528,3.62411981705216
5,3.9930486917676,3.62834550926428
5,1.89867313786773,2.98775322715309
9,5.13712594961205,2.10274562851417
2,2.87539257254779,3.07580455819373
12,5.94718486127036,2.32283828848789
3,3.16115153153239,3.97511973341775
28,8.09986881003508,2.85294261849786
4,3.43349341532753,2.17450280320749
7,4.35587696758865,2.67861415834701
11,6.62703443473934,3.41293145427562
0,2.53827136713209,2.43627544719603
10,5.45491986920826,2.17777960443357
23,7.61428550856486,3.24368721149191
2,1.78503353087754,3.24496657110872
10,5.36926771706461,2.49305682462887
12,5.51976558849685,2.52896169438168
12,6.56364574355462,3.23204993735764
3,2.52609857824384,1.55191565850268
5,2.35908677383145,1.59253622562344
14,6.0438831312338,2.28155577874756
7,5.59396934646637,2.78655284828815
5,5.50098570069175,3.310907565598
8,5.69289641899395,4.47535621694955
1,3.63995055684302,3.85765962320202
7,5.46450739432201,2.84006147003657
5,5.58614494659736,2.98098379209731
4,3.57129716394726,1.99747063536219
37,8.73154902228951,2.98148686400761
6,5.94766584182358,2.71134136107986
1,2.6173930055947,3.32271856033809
23,6.31310721726766,2.17276905644768
5,3.05063665954536,3.51934651424117
14,6.5741692074849,4.53273891300258
29,7.31719115801481,2.89123985154314
5,3.35863536329658,3.40171172209894
7,6.92675225848864,3.69014399171111
9,5.825561853873,2.59877952811416
18,6.64412031998898,3.22409248181042
44,8.79358596530789,3.0125924007818
7,4.50922376799426,3.09767609854883
1,3.49252767128502,2.22699021614453
5,3.22097114074895,3.02451017425894
2,3.36837943006912,3.49799829124545
8,4.84579658117179,4.45114360779504
10,5.68230394963329,3.95927082608521
8,5.55338159866004,5.15318245751156
19,6.65436649807205,2.23265243711195
6,5.02600378375581,3.87232063672068
23,7.90706815431463,3.18334200573835
2,4.47068633352409,5.18980293321767
131,10.4403383331792,2.19170171464485
12,6.25133469553001,2.16027815781922
2,3.28568488716743,2.40060735455598
1,2.85821500387778,0.876104275690193
14,5.96494483048637,2.47424497831924
7,4.5530744293483,2.2408673384463
4,6.42800098818418,3.15039378647621
8,5.94647524914709,3.34175597577716
1,4.85434217468625,4.87617083921589
2,3.30641256386319,3.95042383818605
4,1.97030555062827,2.4230963443376
3,4.10697009586596,2.10158532865164
12,6.71279758864694,3.49191917150651
7,5.42818748826041,1.67976679297936
1,2.50852244257602,4.83145876585435
12,5.34636185170236,4.17944012072129
17,5.77063475945767,2.5308243478953
5,3.23228512759773,1.28686547090912
10,5.30745021189106,4.35387237416541
9,5.116417436892,2.88546015474738
1,2.71405940433875,4.23781631197346
